Transaction_ID,Date,State,City,Category,Product,Quantity,Unit_Price_INR,Total_Sales_INR,Customer_Type,Payment_Method
60,2026-09-29,Andhra Pradesh,Chittoor,Beverages,Lemon Juice,120.0,40.0,4800.0,Retail,UPI
61,2026-09-30,Andhra Pradesh,Tirupati,Vegetables,Bottle Gourd,100.0,42.0,4200.0,Retail,Cash
62,2026-10-01,Andhra Pradesh,Nellore,Fruits,Custard Apple,55.0,100.0,5500.0,Retail,UPI
63,2026-10-02,Andhra Pradesh,Tirupati,Groceries,Chana Dal,70.0,95.0,6650.0,Wholesale,Bank Transfer
64,2026-10-03,Andhra Pradesh,Chittoor,Dairy,Cheese,35.0,330.0,11550.0,Retail,Card
65,2026-10-04,Andhra Pradesh,Tirupati,Snacks,Murukku,65.0,80.0,5200.0,Retail,Cash
66,2026-10-05,Andhra Pradesh,Nellore,Vegetables,Drumstick,75.0,90.0,6750.0,Wholesale,UPI
67,2026-10-06,Andhra Pradesh,Tirupati,Fruits,Muskmelon,60.0,70.0,4200.0,Retail,UPI
68,2026-10-07,Andhra Pradesh,Chittoor,Groceries,Turmeric Powder,45.0,150.0,6750.0,Retail,Cash
69,2026-10-08,Andhra Pradesh,Tirupati,Dairy,,95.0,72.0,6840.0,Retail,Card
70,2026-10-09,Andhra Pradesh,Nellore,Beverages,Mango Juice,100.0,65.0,6500.0,Retail,UPI
71,2026-10-10,Andhra Pradesh,Tirupati,Vegetables,Beetroot,85.0,60.0,5100.0,Retail,Cash
72,2026-10-11,Andhra Pradesh,Chittoor,Fruits,Pear,55.0,130.0,7150.0,Wholesale,Bank Transfer
73,2026-10-12,Andhra Pradesh,Tirupati,Groceries,Coconut Oil,35.0,210.0,7350.0,Retail,UPI
74,2026-10-13,Andhra Pradesh,Nellore,Dairy,Ghee,25.0,600.0,15000.0,Retail,Card
75,2026-10-14,Andhra Pradesh,Tirupati,Snacks,Cookies,120.0,45.0,5400.0,Retail,Cash
76,2026-10-15,Andhra Pradesh,Chittoor,Vegetables,Bitter Gourd,70.0,58.0,4060.0,Wholesale,UPI
77,2026-10-16,Andhra Pradesh,Tirupati,Fruits,Kiwi,40.0,190.0,7600.0,,UPI
78,2026-10-17,Andhra Pradesh,Nellore,Groceries,Jeera,30.0,280.0,8400.0,Retail,Cash
79,2026-10-18,Andhra Pradesh,Tirupati,Dairy,Milk,220.0,59.0,12980.0,Retail,Card
80,2026-10-19,Andhra Pradesh,Chittoor,Beverages,Buttermilk,150.0,25.0,3750.0,Retail,UPI
81,2026-10-20,Andhra Pradesh,Tirupati,Vegetables,Capsicum,60.0,80.0,4800.0,Retail,Cash
82,2026-10-21,Andhra Pradesh,Nellore,Fruits,Lemon,200.0,18.0,3600.0,Wholesale,Bank Transfer
83,2026-10-22,Andhra Pradesh,Tirupati,Groceries,Cardamom,20.0,900.0,18000.0,Retail,UPI
84,2026-10-23,Andhra Pradesh,Chittoor,Dairy,Paneer,42.0,290.0,12180.0,Retail,Card
85,2026-10-24,Andhra Pradesh,Tirupati,Snacks,Bread,100.0,42.0,4200.0,Retail,Cash
86,2026-10-25,Andhra Pradesh,Nellore,Vegetables,Cucumber,80.0,55.0,4400.0,Wholesale,UPI
87,2026-10-26,Andhra Pradesh,Tirupati,Fruits,Strawberry,30.0,250.0,7500.0,Retail,UPI
88,2026-10-27,Andhra Pradesh,Chittoor,Groceries,Coriander Powder,40.0,120.0,4800.0,Retail,Cash
89,2026-10-28,Andhra Pradesh,Tirupati,Dairy,Curd,130.0,,8580.0,Retail,Card
90,2026-10-29,Andhra Pradesh,Nellore,Beverages,Cold Coffee,65.0,95.0,6175.0,Retail,UPI
91,2026-10-30,Andhra Pradesh,Tirupati,Vegetables,Ridge Gourd,75.0,62.0,4650.0,Retail,Cash
92,2026-10-31,Andhra Pradesh,Chittoor,Fruits,Peach,35.0,180.0,6300.0,Wholesale,Bank Transfer
93,2026-11-01,Andhra Pradesh,Tirupati,Groceries,Black Pepper,25.0,420.0,10500.0,Retail,UPI
94,2026-11-02,Andhra Pradesh,Nellore,Dairy,Butter,40.0,275.0,11000.0,Retail,Card
95,2026-11-03,Andhra Pradesh,,Snacks,Kachori,150.0,22.0,3300.0,Retail,Cash
96,2026-11-04,Andhra Pradesh,Chittoor,Vegetables,Sweet Corn,85.0,75.0,6375.0,Wholesale,UPI
97,2026-11-05,Andhra Pradesh,Tirupati,Fruits,Chikoo,65.0,78.0,5070.0,Retail,UPI
98,2026-11-06,Andhra Pradesh,Nellore,Groceries,Moong Dal,55.0,125.0,6875.0,Retail,Cash
99,2026-11-07,Andhra Pradesh,Tirupati,Dairy,Lassi,90.0,58.0,5220.0,Retail,Card
100,2026-11-08,Andhra Pradesh,Chittoor,Beverages,Tender Coconut,80.0,55.0,4400.0,Retail,UPI
5,2026-08-05,Andhra Pradesh,Tirupati,Beverages,Juice,95.0,55.0,5225.0,Retail,UPI
20,2026-08-20,Andhra Pradesh,Chittoor,Beverages,Tea,55.0,190.0,10450.0,Wholesale,Bank Transfer
50,2026-09-19,Andhra Pradesh,Nellore,Beverages,Energy Drink,75.0,110.0,8250.0,Retail,UPI
80,2026-10-19,Andhra Pradesh,Chittoor,Beverages,Buttermilk,150.0,25.0,3750.0,Retail,UPI
